	site_number	state	runway_id	runway_length	runway_width	runway_surface_type_cond	runway_surface_treatment	edge_lights_intensity	base_end_id	base_true_alignment	base_ils_type	base_right_pattern	base_markings_type	base_markings_cond	base_latitude	base_latitude_s	base_longitude	base_longitude_s	base_elevation	base_crossing_height	base_glide_path_angle	base_displaced_length	base_vasi	base_centerline_lights	base_touchdown_lights	base_object	base_object_height	reciprocal_end_id	rcpr_true_alignment	rcpr_ils_type	rcpr_right_pattern	rcpr_markings_type	rcpr_markings_cond	rcpr_latitude	rcpr_latitude_s	rcpr_longitude	rcpr_longitude_s	rcpr_elevation	rcpr_crossing_height	rcpr_glide_path_angle	rcpr_displaced_length	rcpr_vasi	rcpr_centerline_lights	rcpr_touchdown_lights	rcpr_object	rcpr_object_height	runway_capacity_lbs_sw	runway_capacity_lbs_dw	runway_capacity_lbs_dt	runway_capacity_lbs_ddt	base_tora	base_toda	base_asda	base_lda	rcpr_tora	rcpr_toda	rcpr_asda	rcpr_lda
7355	07233.*A	KY	'04/22	7004	150	ASPH-G	GRVD	HIGH	04	42.0	ILS	False	PIR	G	38-01-39.6854N	136899.6854N	084-36-54.3917W	304614.3917W	940.0	60.0	3.0		P4L	True	True	TREE	36.0	22	222.0	ILS	False	PIR	G	38-02-31.4865N	136951.4865N	084-35-56.3106W	304556.3106W	972.7	60.0	3.0		P4L	True	False	TREE	54.0	140.0	169.0	275.0		7004.0	7004.0	7004.0	6604.0	7004.0	7004.0	7004.0	6604.0
7356	07233.*A	KY	'09/27	4000	75	CONC-G	NONE	MED	09	83.0			NPI	F	38-02-21.5556N	136941.5556N	084-37-05.7597W	304625.7597W	950.1	43.0	3.0		P4L					27	263.0			NPI	F	38-02-26.3962N	136946.3962N	084-36-16.1371W	304576.1371W	973.7	43.0	3.0		P4L					30.0				4000.0	4000.0	4000.0	4000.0	4000.0	4000.0	4000.0	4000.0
7357	07233.011*H	KY	'H1	44	44	ROOF-TOP		PERI	H1						38-01-46.9500N	136906.9500N	084-30-32.0200W	304232.0200W	1186.0																																							
7358	07233.02*H	KY	'H1	100	100	CONC-G		PERI	H1				NSTD		38-04-53.7000N	137093.7000N	084-19-05.7000W	303545.7000W	1001.0																																							
7359	07233.02*H	KY	'H2	100	100	CONC-G		PERI	H2				NSTD																																													
7360	07233.03*H	KY	'H1	60	60	CONC		PERI	H1						38-01-59.4000N	136919.4000N	084-31-32.0900W	304292.0900W	980.0																																							
7361	07233.04*H	KY	'H1	180	40	CONC		PERI	H1						38-01-49.4900N	136909.4900N	084-30-28.8700W	304228.8700W	1050.0																																							
7362	07233.05*H	KY	'H1	75	75	CONC		PERI	H1						38-01-03.3600N	136863.3600N	084-30-43.2500W	304243.2500W	1076.0																																							
7363	07233.06*H	KY	'H1	20	20	ASPH			H1						37-57-50.4300N	136670.4300N	084-22-18.6500W	303738.6500W	916.0																																							
7364	07233.08*A	KY	'05/23	2206	35	ASPH			05																	FENCE	5.0	23																	TREE	53.0												
7365	07233.09*H	KY	'H1	40	40	CONC		PERI	H1																																																	
7366	07233.13*H	KY	'H1	20	20	CONC			H1						37-55-29.4000N	136529.4000N	084-23-42.8000W	303822.8000W	970.0							TREES	70.0																															
7367	07235.*H	KY	'H1	40	40	CONC			H1						37-19-04.9000N	134344.9000N	084-55-55.6000W	305755.6000W	825.0																																							
7368	07235.01*A	KY	'01/19	3000	60	ASPH-G			01			False	BSC	G	37-18-16.2500N	134296.2500N	085-03-36.8400W	306216.8400W								TREES	74.0	19			False	BSC	G	37-18-45.2500N	134325.2500N	085-03-28.8400W	306208.8400W								ROAD	16.0												
7369	07239.1*A	KY	'06/24	5751	150	ASPH-F		MED	06	52.0	ILS/DME	False	PIR	P	37-04-55.4358N	133495.4358N	084-05-06.6921W	302706.6921W	1212.3	52.0	3.0	100.0	P4L			TREES	50.0	24	232.0		False	NPI	P	37-05-30.1914N	133530.1914N	084-04-10.5253W	302650.5253W	1182.3	73.0	4.0	550.0	P4L			TREES	37.0	71.0	95.0	151.0									
7370	07239.13*A	KY	'16/34	650	30	TURF-F			16																			34																														
7371	07239.14*H	KY	'H1	42	42	CONC		PERI	H1						37-07-04.5300N	133624.5300N	084-06-37.2100W	302797.2100W	1260.0																																							
7372	07243.*A	KY	'11/29	7250	150	CONC-G	WC	HIGH	11	111.0		False	BSC	G	38-10-48.8165N	137448.8165N	085-44-50.4554W	308690.4554W	476.5	65.0	3.0		P4L			BLDG	55.0	29	291.0	LOCALIZER	False	PIR	G	38-10-22.9895N	137422.9895N	085-43-25.7658W	308605.7658W	480.0	56.0	3.0		P4L					75.0	170.0	360.0	850.0	7250.0	7250.0	6946.0	6946.0	7250.0	7250.0	7250.0	7250.0
7373	07243.*A	KY	'17L/35R	8579	150	CONC-G	GRVD	HIGH	17L	165.0	ILS/DME		PIR	G	38-11-14.2768N	137474.2768N	085-43-52.8303W	308632.8303W	500.8	71.0	3.32	328.0	P4L	True	True			35R	345.0	ILS/DME		PIR	G	38-09-52.4022N	137392.4022N	085-43-24.8692W	308604.8692W	471.4	72.0	3.0	449.0	P4R	True	True			75.0	207.0	360.0	850.0	8579.0	8579.0	8129.0	7800.0	8579.0	8579.0	8250.0	7800.0
7374	07243.*A	KY	'17R/35L	11887	150	CONC-G	GRVD	HIGH	17R	165.0	ILS/DME		PIR	G	38-11-13.1562N	137473.1562N	085-44-55.6058W	308695.6058W	489.3	75.0	3.0	846.0	P4L	True	True			35L	345.0	ILS/DME		PIR	G	38-09-19.4498N	137359.4498N	085-44-18.0885W	308658.0885W	461.4	75.0	3.0	1040.0	P4L	True	True			75.0	207.0	360.0	850.0	11095.0	11095.0	11095.0	10000.0	11290.0	11290.0	11290.0	10000.0
7375	07243.1*A	KY	'11/29	2000	100	TURF			11			True	NSTD	G												TREES		29			False	NSTD	G												TREES													
7376	07243.16*H	KY	'H1	55	55	ROOF-TOP		PERI	H1				BSC																																													
7377	07243.2*H	KY	'H1	250	125	BRICK			H1																																																	
